detail_id,order_id,product_id,quantity,discount
1,8935,96,2,5
2,6508,43,5,15
3,5072,63,1,20
4,1709,38,5,15
5,1945,78,2,20
6,245,66,2,5
7,8556,17,4,10
8,6916,16,5,15
9,8761,82,5,15
10,8904,10,2,15
11,6606,53,5,20
12,1937,50,5,20
13,2586,94,4,15
14,440,87,5,15
15,6174,46,4,10
16,8832,94,4,10
17,9784,58,4,10
18,9838,60,4,15
19,7904,28,5,0
20,643,60,3,0
21,6742,68,2,5
22,4067,100,4,5
23,3670,73,2,10
24,7662,99,3,0
25,2879,56,4,20
26,8194,52,3,15
27,856,58,2,20
28,6031,34,4,0
29,5889,20,1,15
30,3443,18,1,5
31,3570,1,3,20
32,7190,88,5,20
33,2744,81,5,20
34,247,22,2,20
35,5678,43,4,15
36,3572,8,5,20
37,8807,28,4,0
38,7187,77,5,0
39,9851,93,1,15
40,2088,25,1,10
41,4621,29,3,10
42,1291,73,4,10
43,7441,1,5,10
44,8868,96,4,15
45,2033,15,4,5
46,4803,79,5,10
47,9597,49,2,10
48,3311,55,3,0
49,4107,14,4,5
50,6420,59,2,10
51,178,65,5,15
52,2687,72,4,0
53,1366,92,2,5
54,1656,48,4,15
55,7354,8,1,20
56,1256,66,4,0
57,7615,15,1,10
58,5466,92,5,20
59,9808,21,1,15
60,1287,67,5,20
61,367,20,2,0
62,3970,14,5,20
63,6515,5,3,0
64,3127,40,4,0
65,1473,61,2,10
66,1473,62,3,0
67,4569,53,3,10
68,4916,42,1,5
69,4053,27,3,10
70,9618,10,4,10
71,1428,45,4,15
72,3169,4,2,15
73,3274,30,5,15
74,5042,66,4,10
75,313,7,4,10
76,4292,27,3,5
77,5195,84,1,0
78,9285,12,4,10
79,3785,51,3,15
80,323,51,4,20
81,6997,81,4,15
82,8312,81,1,5
83,4338,9,3,10
84,2453,36,3,20
85,7098,36,5,0
86,5184,28,3,0
87,9352,3,3,5
88,5754,95,1,20
89,4544,6,4,5
90,9808,20,5,10
91,6620,47,1,5
92,2373,59,1,0
93,566,39,5,20
94,1700,23,4,10
95,3859,67,3,15
96,424,94,5,20
97,1606,74,2,0
98,5938,7,5,0
99,6279,28,2,20
100,2481,85,2,15
101,2083,41,5,5
102,2198,71,4,10
103,8022,96,1,0
104,9954,22,3,20
105,1772,18,5,5
106,43,4,4,5
107,3916,98,5,0
108,8395,28,5,5
109,4396,47,1,15
110,8092,74,1,15
111,7376,52,1,20
112,7156,2,4,20
113,1399,13,4,5
114,2447,31,2,10
115,9257,16,2,5
116,5921,27,1,10
117,4051,46,4,5
118,8904,59,2,10
119,5801,90,1,10
120,460,74,3,0
121,4366,58,4,0
122,7031,71,2,20
123,9993,69,2,0
124,8785,84,2,10
125,4677,50,5,5
126,1586,52,2,15
127,2133,77,4,0
128,3473,67,4,10
129,7196,30,2,5
130,3567,18,2,10
131,2601,56,2,15
132,9113,93,2,15
133,8396,96,1,5
134,5578,33,1,10
135,5610,18,5,15
136,8872,36,4,10
137,122,36,3,15
138,4638,90,1,15
139,6952,40,2,10
140,4405,10,1,10
141,7508,76,3,0
142,6336,89,3,5
143,5732,28,2,20
144,4043,81,2,10
145,4898,35,5,5
146,4551,94,3,0
147,9450,76,3,10
148,85,97,5,20
149,7366,62,3,10
150,8096,18,5,0
151,5280,86,4,0
152,7012,55,2,10
153,9,14,4,5
154,3068,4,3,5
155,7350,57,1,10
156,4674,71,4,5
157,4617,67,3,20
158,2119,55,1,10
159,2817,67,2,0
160,5288,97,4,20
161,2188,94,1,20
162,772,66,2,0
163,7765,83,5,0
164,9732,65,5,5
165,2803,5,5,5
166,5840,23,1,0
167,9722,36,2,5
168,5661,87,3,15
169,9256,11,2,0
170,2570,63,5,5
171,9626,75,1,5
172,5164,12,1,0
173,2750,22,4,20
174,9199,18,3,15
175,9375,74,5,20
176,4058,43,5,10
177,3469,22,4,0
178,3802,23,2,10
179,806,71,1,15
180,7760,83,1,0
181,3818,62,5,0
182,8040,14,3,0
183,6223,70,3,5
184,4812,49,1,20
185,8358,72,5,10
186,9436,21,1,20
187,5351,15,3,0
188,3061,18,5,15
189,6279,6,1,20
190,9559,80,4,10
191,9468,36,1,0
192,7243,15,3,20
193,1024,31,4,10
194,8206,93,4,5
195,7721,17,3,20
196,351,97,1,5
197,5179,78,5,15
198,8293,36,5,5
199,4409,98,2,5
200,9247,88,4,20
201,6986,81,4,0
202,5493,40,2,20
203,5567,87,5,20
204,5309,63,1,20
205,4949,57,4,0
206,729,60,1,20
207,1368,95,1,5
208,6005,25,2,15
209,3650,45,5,5
210,1875,81,4,5
211,3310,35,1,10
212,1420,48,3,20
213,8902,83,4,15
214,4057,15,3,5
215,8880,60,1,15
216,1801,9,3,10
217,2389,15,1,20
218,8196,80,3,20
219,4208,77,1,20
220,2424,93,4,10
221,9514,43,1,15
222,3364,30,4,15
223,6932,40,5,0
224,4565,29,1,5
225,7382,34,1,0
226,1522,73,5,0
227,1919,14,1,15
228,4064,72,2,5
229,4485,35,2,5
230,6299,45,3,20
231,5149,11,5,20
232,8210,16,5,15
233,8202,84,3,10
234,1066,58,5,0
235,5675,37,2,15
236,9489,72,1,5
237,4420,47,5,10
238,8747,77,2,0
239,4647,79,3,0
240,8594,6,5,0
241,549,1,4,20
242,5340,52,5,20
243,1531,78,5,5
244,3084,25,1,15
245,7711,76,2,15
246,6305,37,1,5
247,790,58,3,0
248,5518,73,5,20
249,444,84,4,10
250,338,67,1,0
251,6153,58,1,0
252,9425,14,4,20
253,6158,48,1,0
254,5342,78,2,0
255,8853,49,3,5
256,8173,38,5,10
257,5798,89,3,20
258,3207,77,2,0
259,8606,47,4,15
260,5444,33,5,5
261,4191,60,5,0
262,2422,99,4,20
263,8984,66,1,0
264,7684,81,5,15
265,3905,23,1,0
266,9802,60,1,5
267,375,63,5,0
268,7607,95,4,5
269,4090,92,2,10
270,5496,68,5,0
271,1391,83,5,0
272,2711,95,4,15
273,6859,13,3,0
274,8938,4,4,20
275,4360,40,2,10
276,6374,60,4,0
277,1002,33,2,10
278,9966,57,4,10
279,8143,12,2,10
280,4205,39,3,20
281,4937,57,5,10
282,1438,77,4,0
283,4166,74,5,0
284,1094,85,3,0
285,9626,3,3,10
286,4927,40,5,15
287,2785,84,3,5
288,1795,54,3,5
289,9039,79,4,5
290,9537,87,1,15
291,6615,50,4,15
292,5843,90,2,10
293,4875,24,1,5
294,1701,99,3,15
295,9654,76,4,0
296,6626,45,5,0
297,1679,17,3,10
298,957,61,4,20
299,3831,56,2,10
300,699,87,5,15
301,8382,7,1,20
302,2279,19,4,0
303,6856,54,2,5
304,9950,83,2,10
305,2953,54,1,0
306,7555,81,4,5
307,6827,44,3,20
308,1104,27,2,15
309,1616,25,3,10
310,2238,58,1,0
311,9025,17,2,5
312,2173,83,1,0
313,2721,42,2,0
314,4513,93,4,15
315,5061,3,4,0
316,8922,99,3,5
317,3809,15,1,10
318,6613,38,5,5
319,5305,54,2,20
320,7549,44,2,0
321,8341,34,5,5
322,3896,49,3,20
323,2469,15,3,5
324,9617,54,3,10
325,8535,60,1,15
326,6292,25,5,5
327,773,27,2,5
328,1575,56,5,20
329,760,60,1,0
330,8387,20,1,10
331,5509,63,3,0
332,2193,97,3,0
333,2923,14,5,20
334,3121,89,2,10
335,250,84,1,15
336,9422,92,1,20
337,4983,35,3,10
338,7758,56,4,20
339,6174,20,3,5
340,6734,58,1,0
341,7955,16,2,0
342,3739,40,3,15
343,4398,16,4,10
344,6237,45,5,5
345,3411,1,1,5
346,3030,38,2,5
347,3785,58,1,15
348,6309,40,2,5
349,3156,95,3,0
350,9820,80,5,15
351,2619,9,1,0
352,5190,18,5,5
353,7241,97,1,20
354,9477,28,1,15
355,7720,55,3,5
356,778,82,1,0
357,8171,98,2,0
358,658,10,1,20
359,1880,4,3,15
360,588,7,3,5
361,768,40,5,10
362,6342,54,5,15
363,5676,12,1,5
364,8984,77,3,5
365,7737,88,2,5
366,7527,99,5,5
367,9400,24,5,0
368,2729,44,2,5
369,5039,35,5,20
370,8920,3,4,15
371,9807,93,4,10
372,7581,61,4,10
373,5110,28,5,10
374,9767,22,5,20
375,1639,33,4,5
376,1195,22,3,10
377,3875,34,4,10
378,9535,91,1,0
379,6656,5,5,10
380,7627,70,1,20
381,2591,19,2,5
382,4368,87,3,20
383,4745,36,4,10
384,8780,39,5,10
385,6473,100,5,10
386,4936,43,1,10
387,2902,16,3,15
388,2302,80,5,0
389,4207,17,4,0
390,7859,9,2,5
391,9492,11,3,5
392,8767,17,4,15
393,4615,85,4,0
394,2168,28,5,10
395,5285,34,3,5
396,5490,93,5,0
397,3408,57,2,0
398,6771,60,4,5
399,988,80,4,20
400,433,31,5,20
401,3504,33,4,20
402,6474,21,1,15
403,5631,28,5,0
404,9821,12,5,5
405,8995,21,5,20
406,1374,66,2,10
407,216,57,2,20
408,8198,39,5,10
409,5567,2,3,0
410,6410,66,1,10
411,1539,88,1,10
412,6792,18,4,20
413,5467,51,4,5
414,1170,61,4,5
415,7571,92,2,10
416,3770,65,1,10
417,4410,47,4,10
418,1365,91,3,20
419,9872,58,3,5
420,574,9,3,10
421,6307,96,2,5
422,8915,34,3,10
423,4652,43,1,0
424,2050,84,2,5
425,1203,79,5,20
426,4865,72,1,5
427,1293,17,1,10
428,9940,32,1,20
429,9404,67,5,5
430,390,73,2,5
431,2483,92,1,5
432,5059,9,4,15
433,6678,76,4,0
434,6617,68,2,20
435,2604,71,2,15
436,6698,58,3,0
437,302,86,1,20
438,7879,63,2,10
439,4811,75,4,5
440,5986,86,5,10
441,9687,3,1,5
442,1487,28,3,10
443,3095,7,1,5
444,5540,29,3,5
445,7073,94,3,15
446,7038,75,2,15
447,1009,55,4,10
448,7122,39,3,0
449,3450,81,1,10
450,8439,23,2,0
451,1214,80,3,10
452,8091,24,1,10
453,6144,41,2,5
454,1652,51,5,10
455,5764,41,1,5
456,6349,77,3,10
457,226,46,5,5
458,6420,7,4,5
459,2438,72,5,10
460,9474,74,2,20
461,2455,94,5,20
462,6658,50,5,20
463,8658,2,1,0
464,6553,81,3,5
465,8688,45,3,10
466,3206,5,3,5
467,3463,96,4,0
468,4172,98,1,15
469,3827,84,4,0
470,7545,82,2,15
471,4272,91,2,0
472,739,85,3,0
473,3002,84,5,10
474,77,57,5,20
475,3716,78,4,15
476,9191,66,1,0
477,4303,66,3,20
478,1644,45,5,0
479,5879,34,2,10
480,9112,97,4,20
481,4630,82,1,10
482,1717,99,3,15
483,1712,34,1,20
484,8491,60,4,20
485,5723,10,3,15
486,9993,76,2,5
487,9692,15,2,15
488,9541,5,1,15
489,9088,68,3,0
490,5049,90,4,15
491,3861,30,1,20
492,9533,40,4,20
493,1640,40,1,10
494,9445,24,5,10
495,2271,60,4,15
496,7483,36,1,15
497,5508,31,4,10
498,6687,95,4,15
499,9107,44,4,5
500,7263,13,4,10
501,3876,51,1,0
502,1547,52,5,10
503,9629,48,2,10
504,1162,64,1,15
505,8555,64,3,15
506,8973,21,3,15
507,4064,35,2,5
508,5320,12,1,0
509,1342,4,2,20
510,8576,26,1,10
511,9366,86,1,10
512,1255,7,1,0
513,2118,6,1,15
514,5006,60,3,20
515,1528,41,4,20
516,7147,13,5,10
517,2122,25,5,0
518,3050,95,1,5
519,4220,42,5,5
520,4304,100,4,0
521,8339,4,4,0
522,9580,24,4,20
523,5948,58,3,5
524,6713,89,3,5
525,5408,36,2,10
526,7567,8,2,15
527,1771,81,3,10
528,6529,52,4,20
529,2157,1,4,5
530,9367,59,2,5
531,3859,90,1,20
532,7171,4,5,15
533,3946,27,3,10
534,5742,30,5,15
535,5897,6,5,5
536,9332,84,1,5
537,8415,93,3,15
538,9752,65,1,5
539,9128,39,3,0
540,2518,58,5,5
541,6880,89,2,15
542,9047,92,3,20
543,4851,14,3,15
544,9822,8,3,10
545,7467,42,1,10
546,3842,63,5,5
547,6567,82,1,15
548,346,70,2,5
549,8480,19,1,0
550,226,88,2,20
551,7743,69,1,15
552,7893,94,5,5
553,4393,55,3,10
554,3319,1,5,5
555,2446,24,2,0
556,2094,66,5,0
557,6533,80,1,5
558,5247,69,2,5
559,2450,30,2,15
560,2354,29,3,10
561,2265,35,1,15
562,949,67,2,20
563,8603,83,1,10
564,8902,75,5,10
565,8880,86,2,5
566,3517,88,2,5
567,2892,65,3,15
568,6475,16,5,20
569,9291,57,1,0
570,8329,91,1,20
571,6554,26,2,0
572,3931,83,2,15
573,5211,92,2,0
574,4260,45,3,10
575,4217,58,2,5
576,7833,4,1,10
