order_id,customer_id,store_id,order_date,payment_method,order_status,shipping_cost
1,748,8,2025-03-23,UPI,Delivered,234.17
2,465,20,2024-04-28,Net Banking,Delivered,179.88
3,759,6,2025-11-04,UPI,Delivered,68.81
4,168,16,2024-01-12,Debit Card,Delivered,204.43
5,171,12,2024-09-22,Credit Card,Shipped,223.43
6,790,1,2024-04-30,Debit Card,Processing,97.12
7,270,19,2024-03-06,UPI,Delivered,147.26
8,512,19,2024-02-26,Credit Card,Delivered,93.57
9,916,19,2024-04-15,UPI,Delivered,146.85
10,880,1,2024-02-15,Credit Card,Delivered,116.44
11,184,2,2024-06-02,Net Banking,Processing,189.94
12,430,8,2025-11-02,Debit Card,Delivered,232.33
13,278,3,2024-11-23,Net Banking,Delivered,145.43
14,184,8,2024-02-23,Net Banking,Returned,240.36
15,899,15,2024-03-11,Debit Card,Shipped,105.25
16,567,15,2024-03-29,UPI,Delivered,101.23
17,758,20,2024-11-07,Credit Card,Delivered,164.26
18,792,7,2025-05-20,Net Banking,Shipped,91.48
19,955,14,2024-01-07,UPI,Delivered,112.75
20,899,1,2025-12-11,Debit Card,Delivered,178.03
21,107,7,2024-11-10,Net Banking,Returned,128.16
22,996,5,2024-03-02,Debit Card,Delivered,233.47
23,423,12,2025-06-16,Cash,Returned,57.83
24,518,5,2024-04-07,Cash,Delivered,159.24
25,679,5,2025-03-21,Credit Card,Delivered,218.69
26,718,11,2025-02-06,Debit Card,Delivered,89.06
27,140,19,2024-07-26,UPI,Delivered,74.52
28,322,14,2025-04-22,UPI,Delivered,242.57
29,463,10,2024-07-31,Cash,Delivered,65.18
30,827,10,2024-06-10,Net Banking,Delivered,215.54
31,152,3,2024-12-01,Credit Card,Returned,123.21
32,694,10,2024-02-20,Debit Card,Processing,76.51
33,876,15,2025-02-18,Net Banking,Shipped,92.47
34,105,5,2025-04-18,UPI,Delivered,214.38
35,134,7,2024-08-15,Cash,Delivered,172.36
36,87,19,2025-10-22,Net Banking,Delivered,210.68
37,67,7,2024-01-23,Cash,Processing,59.32
38,126,2,2024-12-05,Cash,Delivered,234.07
39,842,13,2025-03-19,Cash,Delivered,183.47
40,363,7,2024-06-25,Credit Card,Delivered,133.66
41,36,20,2024-06-01,Net Banking,Delivered,175.93
42,422,18,2025-05-25,Cash,Delivered,98.75
43,430,7,2024-05-20,Net Banking,Delivered,248.76
44,814,1,2025-07-10,Cash,Shipped,115.41
45,801,16,2025-07-11,Debit Card,Cancelled,145.5
46,277,6,2025-02-01,UPI,Delivered,85.99
47,60,16,2024-10-14,Net Banking,Delivered,162.64
48,998,6,2024-08-26,UPI,Delivered,90.64
49,836,2,2025-06-30,Credit Card,Delivered,246.36
50,364,6,2025-02-01,Credit Card,Delivered,106.78
51,368,19,2025-12-15,UPI,Shipped,113.85
52,578,5,2025-08-04,Net Banking,Cancelled,215.71
53,556,10,2025-05-19,Credit Card,Delivered,58.95
54,617,8,2024-08-26,UPI,Delivered,40.14
55,207,5,2025-09-20,Debit Card,Shipped,232.94
56,61,1,2024-11-27,Credit Card,Delivered,232.62
57,867,17,2024-04-23,Debit Card,Returned,118.45
58,406,19,2025-11-09,UPI,Delivered,107.75
59,750,14,2024-06-10,Cash,Delivered,76.58
60,711,20,2025-07-29,Debit Card,Delivered,163.68
61,388,10,2024-06-28,Debit Card,Delivered,193.05
62,972,19,2025-12-19,Cash,Processing,201.87
63,34,6,2025-08-04,Net Banking,Delivered,209.85
64,227,19,2025-09-18,UPI,Cancelled,69.54
65,244,12,2024-03-20,Debit Card,Delivered,225.92
66,842,11,2024-03-31,Cash,Delivered,84.03
67,70,12,2025-12-10,Debit Card,Shipped,191.29
68,396,15,2024-02-19,Cash,Returned,225.76
69,903,13,2025-05-19,Debit Card,Delivered,61.3
70,808,19,2025-05-05,Credit Card,Delivered,55.48
71,302,1,2024-02-04,Debit Card,Delivered,61.99
72,175,13,2024-12-16,Credit Card,Shipped,154.88
