product_id,product_name,category,brand,price,stock_quantity,supplier
1,Football,Sports,Samsung,36248,145,Global Distributors
2,T-Shirt,Fashion,Lenovo,71682,64,Metro Wholesale
3,Mixer,Home Appliances,Samsung,12480,131,Global Distributors
4,Magazine,Books,Samsung,73763,121,Metro Wholesale
5,Iron,Home Appliances,LG,77436,162,ABC Traders
6,Jacket,Fashion,Adidas,36621,99,Global Distributors
7,Rice,Grocery,Apple,49997,69,Retail Hub
8,Coffee,Grocery,Nike,5895,393,Prime Suppliers
9,Novel,Books,Prestige,10528,302,Retail Hub
10,Dumbbell,Sports,Adidas,75874,118,ABC Traders
11,Smartphone,Electronics,Nike,10658,457,Global Distributors
12,Headphones,Electronics,Nike,59629,345,Retail Hub
13,Shoes,Fashion,Adidas,27660,363,Retail Hub
14,Football,Sports,Puma,22631,293,Global Distributors
15,Jacket,Fashion,Prestige,35582,493,Metro Wholesale
16,Shoes,Fashion,Samsung,30221,440,ABC Traders
17,Tea,Grocery,Nike,8875,128,Metro Wholesale
18,Tennis Racket,Sports,HP,65635,222,Prime Suppliers
19,Shoes,Fashion,Dell,32525,401,Metro Wholesale
20,Notebook,Books,Boat,76822,239,Metro Wholesale
21,Fan,Home Appliances,HP,18331,280,Prime Suppliers
22,Laptop,Electronics,Apple,20233,341,Global Distributors
23,Yoga Mat,Sports,Puma,8526,217,Prime Suppliers
24,Story Book,Books,Sony,33153,303,ABC Traders
25,Football,Sports,Lenovo,70581,404,Retail Hub
26,Tennis Racket,Sports,Apple,38669,242,Global Distributors
27,Mixer,Home Appliances,Boat,34722,276,Global Distributors
28,Novel,Books,Lenovo,39317,450,Metro Wholesale
29,Dictionary,Books,Dell,49209,410,Global Distributors
30,Magazine,Books,Samsung,78704,185,Prime Suppliers
31,Laptop,Electronics,Adidas,40506,142,ABC Traders
32,Watch,Fashion,Apple,11426,394,Prime Suppliers
33,Smartwatch,Electronics,Dell,17028,357,Prime Suppliers
