store_id,store_name,city,state
1,Retail Store 1,Pune,Maharashtra
2,Retail Store 2,Mumbai,Maharashtra
3,Retail Store 3,Nagpur,Maharashtra
4,Retail Store 4,Delhi,Delhi
5,Retail Store 5,Bengaluru,Karnataka
6,Retail Store 6,Hyderabad,Telangana
7,Retail Store 7,Chennai,Tamil Nadu
8,Retail Store 8,Ahmedabad,Gujarat
9,Retail Store 9,Jaipur,Rajasthan
10,Retail Store 10,Lucknow,Uttar Pradesh
11,Retail Store 11,Indore,Madhya Pradesh
12,Retail Store 12,Kolkata,West Bengal
13,Retail Store 13,Surat,Gujarat
14,Retail Store 14,Bhopal,Madhya Pradesh
15,Retail Store 15,Patna,Bihar
16,Retail Store 16,Goa,Goa
17,Retail Store 17,Kochi,Kerala
18,Retail Store 18,Chandigarh,Punjab
19,Retail Store 19,Visakhapatnam,Andhra Pradesh
20,Retail Store 20,Mysuru,Karnataka
